Code	Group	Subgroup	Brand	Item	Description	Wholesale price (USD)
52	Large home appliances	Refrigerators with Bottom Freezer	Indesit	Refrigerator Indesit Es 16		267.5
53	Large home appliances	Refrigerators Single-chamber	Indesit	Refrigerator Indesit Tt 85	1-cam. 119L (105+14), 85*60*61.5	184.8
54	Large home appliances	Refrigerators Single-chamber	Lex	Refrigerator Lex Rfs 101 Df Wh		124.57
55	Large home appliances	Refrigerators with Top Freezer	Lex	Refrigerator Lex Rfs 201 Df Ix		212.68
56	Large home appliances	Refrigerators with Top Freezer	Lex	Refrigerator Lex Rfs 201 Df Wh		198.54
57	Large home appliances	Refrigerators with Bottom Freezer	Lex	Refrigerator Lex Rfs 202 Df Ix		272.51
58	Large home appliances	Refrigerators with Bottom Freezer	Lex	Refrigerator Lex Rfs 202 Df Wh		249.13
59	Large home appliances	Refrigerators with Bottom Freezer	Lg	Refrigerator Lg Ga-B509Cqcl 		582.94
60	Large home appliances	Refrigerators with Bottom Freezer	Lg	Refrigerator Lg Ga-B459Mesl 		527.59
61	Large home appliances	Refrigerators with Bottom Freezer	Lg	Refrigerator Lg Ga-B419Sejl 		434.73
62	Large home appliances	Refrigerators with Bottom Freezer	Lg	Refrigerator Lg Ga-B419Swjl		432.09
63	Large home appliances	Refrigerators Single-chamber	Maunfeld	Refrigerator Maunfeld Mff50W		106.87
64	Large home appliances	Refrigerators Single-chamber	Midea	Refrigerator Midea MR1050W		88.77
65	Large home appliances	Refrigerators Single-chamber	Midea	Refrigerator Midea Mr1085S		133.15
66	Large home appliances	Refrigerators Single-chamber	Midea	Refrigerator Midea Mr1086S		166.44
67	Large home appliances	Refrigerators with Bottom Freezer	Midea	Refrigerator Midea Mrb519Sfnw1		436.84
68	Large home appliances	Refrigerators with Bottom Freezer	Midea	Refrigerator Midea Mrb519Sfnx1		436.84
69	Large home appliances	Refrigerators with Bottom Freezer	Midea	Refrigerator Midea Mrb520Sfngbe1		540.93
70	Large home appliances	Refrigerators with Bottom Freezer	Midea	Refrigerator Midea Mrb520Sfnw1		488.89
71	Large home appliances	Refrigerators Side-By-Side	Midea	Refrigerator Midea Mrs 518 Snbl1		832.08
72	Large home appliances	Refrigerators Side-By-Side	Midea	Refrigerator Midea Mrs518Sngbe		832.21
73	Large home appliances	Refrigerators Side-By-Side	Midea	Refrigerator Midea Mrs518Wfnx		936.17
74	Large home appliances	Refrigerators with Bottom Freezer	Strinol	Refrigerator Strinol Stn 167		311.88
75	Large home appliances	Refrigerators with Bottom Freezer	Strinol	Refrigerator Strinol Sts 150		233.02
76	Large home appliances	Refrigerators with Bottom Freezer	Strinol	Refrigerator Strinol Sts 167 S		277.67
77	Large home appliances	Refrigerators with Bottom Freezer	Strinol	Refrigerator Strinol Sts 185		275.55
78	Large home appliances	Refrigerators with Bottom Freezer	Strinol	Refrigerator Strinol Sts 185 S		296.82
79	Large home appliances	Refrigerators with Bottom Freezer	Strinol	Refrigerator Strinol Sts 200		302.1
80	Large home appliances	Refrigerators with Top Freezer	Atlent	Refrigerator Atlent 2808-90	154*60*63, 2 chambers, upper freezer, A class, 263/53 l, 1 compressor, electromechanical control, White	243.98
81	Large home appliances	Refrigerators with Top Freezer	Atlent	Refrigerator Atlent 2819-90	2-cam., 310l/240l/70l,(1760)	286.78
82	Large home appliances	Refrigerators Single-chamber	Atlent	Refrigerator Atlent 2822-80	131*60*63, 1 chamber, upper freezer, A class, 220/30 l, 1 compressor, electromechanical control, White	204.62
83	Large home appliances	Refrigerators Single-chamber	Atlent	Refrigerator Atlent 2823-80	150*60*63, 1 chamber, upper freezer, C class, 260/30 l, 1 compressor, mechanical control, White	225.36
84	Large home appliances	Refrigerators with Top Freezer	Atlent	Refrigerator Atlent 2826-90	167*60*64, 2 chambers, upper freezer, B class, 293/53 l, 1 compressor, electromechanical control, fast freezing, White	264.72
85	Large home appliances	Refrigerators with Top Freezer	Atlent	Refrigerator Atlent 2835-08 (Silver)		249.66
86	Large home appliances	Refrigerators with Top Freezer	Atlent	Refrigerator Atlent 2835-90	163*60*64, 1 chamber, upper freezer, B class, 280/70 l, 1 compressor, electromechanical control, fast freezing, White	238.43
87	Large home appliances	Refrigerators with Bottom Freezer	Atlent	Refrigerator Atlent 4008-022	1420x600x630 mm 1 compressor 244l (168 l / 76 l) .class A. Versions: 022-painted Metall. Number of compartments in the freezer 2: Sound alarm when the door is open for more than 30 seconds	226.02
88	Large home appliances	Refrigerators with Bottom Freezer	Atlent	Refrigerator Atlent 4009-022	157*60*64, 2 chambers, bottom freezer, B class, 281/76 l, 1 compressor, mechanical control, super freezing, White	261.68
89	Large home appliances	Refrigerators with Bottom Freezer	Atlent	Refrigerator Atlent 4010-022	2-cam.283l/168l/115l(1610)m=65kg	259.31
90	Large home appliances	Refrigerators with Bottom Freezer	Atlent	Refrigerator Atlent 4011-022	167*60*64, 2 chambers, bottom freezer, B class, 230/76 l, 1 compressor, mechanical control, super freezing, White	280.44
91	Large home appliances	Refrigerators with Bottom Freezer	Atlent	Refrigerator Atlent 4012-022	176*60*63, 2 chambers, bottom freezer, B class, 320/115 l, 1 compressor, mechanical control, White	298.14
92	Large home appliances	Refrigerators with Bottom Freezer	Atlent	Refrigerator Atlent 4012-080 (Silver)	volume 320 l, (205/115) 2-chamber, number of compressors: 1, electromechanical control, dimensions (176*60*63 s m), class A, silver color	329.32
93	Large home appliances	Refrigerators with Bottom Freezer	Atlent	Refrigerator Atlent 4013-022	176*60*63, 2 chambers, bottom freezer, B class, 328/76 l, 1 compressor, mechanical control, White	281.5
94	Large home appliances	Refrigerators with Bottom Freezer	Atlent	Refrigerator Atlent 4021-000	Similar to 6021.031, one compressor	304.48
95	Large home appliances	Refrigerators with Bottom Freezer	Atlent	Refrigerator Atlent 4024-000	Number of chambers: 2; Number of compressors: 1; Coating material: plastic; Freezer location: bottom; Control type: electromechanical; Freezer defrosting: manual; Defrosting the refrigerator compartment: drip	311.62
96	Large home appliances	Refrigerators with Bottom Freezer	Atlent	Refrigerator Atlent 4025-000	Analogue 6025.031, one compressor, class A	330.64
97	Large home appliances	Refrigerators with Bottom Freezer	Atlent	Refrigerator Atlent 4026-000	one compressor, class A 383l (272l/101l). Refrigerator with freezer; Freezer location: bottom; Colour: White; Number of chambers: 2; h*w*d (205*60*63) weight 70 kg	347.28
98	Large home appliances	Refrigerators with Bottom Freezer	Atlent	Refrigerator Atlent 4208-000	142.5cm*54.5*60; Type: Refrigerator with freezer; 185 l(132l/53l) Freezer location: bottom; Colour: White; Number of chambers: 2; Possibility of hanging the door. weight 50 kg.	214.92
99	Large home appliances	Refrigerators with Bottom Freezer	Atlent	Refrigerator Atlent 4209-000	161.5cm*54.5*60; Type: Refrigerator with freezer; 209 l(167l/42l) Freezer location: bottom; Colour: White; Number of chambers: 2; Possibility of hanging the door. weight 55 kg.	255.21
100	Large home appliances	Refrigerators with Bottom Freezer	Atlent	Refrigerator Atlent 4210-000	161.5cm*54.5*60; Type: Refrigerator with freezer; 198 l(131l/67l) Freezer location: bottom; Colour: White; Number of chambers: 2; Possibility of hanging the door. weight 55 kg.	250.85
101	Large home appliances	Refrigerators with Bottom Freezer	Atlent	Refrigerator Atlent 4214-000	h*w*d (180.5 *54.5 *60) Gross volume: 248 l (168/80) Climate class: SN. Energy efficiency class: A Number of compressors: 1. Color: White	298.8
102	Large home appliances	Refrigerators with Bottom Freezer	Atlent	Refrigerator Atlent 4421-000-N	h*w*d (1865 *595 *625) Gross volume: 312 l (208/104) Climate class: SN. NF. Energy class: A. Number of compressors: - 1; 3 sec. in the freezer. Colour: White	374.89
103	Large home appliances	Refrigerators with Bottom Freezer	Atlent	Refrigerator Atlent 4421-009-Nd	Colour: White; Fridge defrosting: NoFrost; Refrigerator volume: 208; Width: 59.50; Number of chambers: 2; Number of compressors: 1; Freezer location: bottom; Freezer defrosting: NoFrost; Height: 186	400.25
104	Large home appliances	Refrigerators with Bottom Freezer	Atlent	Refrigerator Atlent 4425-000-N	h*w*d (206.5 *59.5 *62.5) Gross volume: 342 l (203/134) Climate class: SN. Energy class: A Number of compressors: 1. weight 80 kg. in the freezer. Colour: White	419.41
105	Large home appliances	Refrigerators with Bottom Freezer	Atlent	Refrigerator Atlent 4521-000-N(V)		380.97
106	Large home appliances	Refrigerators with Bottom Freezer	Atlent	Refrigerator Atlent 4619-100		332.09
107	Large home appliances	Refrigerators with Bottom Freezer	Atlent	Refrigerator Atlent 4621-101		343.85
108	Large home appliances	Refrigerators with Bottom Freezer	Atlent	Refrigerator Atlent 4624-101		355.87
109	Large home appliances	Refrigerators with Bottom Freezer	Atlent	Refrigerator Atlent 4724-101		316.64
110	Large home appliances	Refrigerators Single-chamber	Atlent	Refrigerator Atlent 5810-62	150*60*60, single chamber, without freezer, B class, 280 l, 1 compressor, mechan. control unit, White	231.7
111	Large home appliances	Refrigerators with Bottom Freezer	Atlent	Refrigerator Atlent 6021-031	186*60*64, 2 chambers, bottom freezer, B class, 345/115 l, 2 compressors, electronic control unit, White	320.86
112	Large home appliances	Refrigerators with Bottom Freezer	Atlent	Refrigerator Atlent 6023-031	195*60*64, 2 chambers, bottom freezer, B class, 359/154 l, 2 compressors, electro-mechan. controls, White	327.47
113	Large home appliances	Refrigerators with Bottom Freezer	Atlent	Refrigerator Atlent 6024-031	195*60*64, 2 chambers, bottom freezer, A class, 367/115 l, 2 compressors, electronic control unit, White	336.32
114	Large home appliances	Refrigerators with Bottom Freezer	Atlent	Refrigerator Atlent 6025-031	205*60*64, 2 chambers, lower freezer, B class, 384/154 l, 2 compressors, LED indication, electromechanical control, White	360.09
115	Large home appliances	Refrigerators with Bottom Freezer	Atlent	Refrigerator Atlent 6026-031	205*60*64, 2 chambers, bottom freezer, A class, 393/115 l, 2 compressors, electronic control unit, White	381.89
116	Large home appliances	Refrigerators with Bottom Freezer	Atlent	Refrigerator Atlent 6321-101(V)		303.95
117	Large home appliances	Refrigerators Single-chamber	Burisa	Refrigerator Burisa 10	Freshness zone: no; Freezer defrosting: manual; Defrosting of the refrigerating chamber: manual; Height: 122; Depth: 62; Width: 58; Energy class: A; Total volume: 235; Refrigerator volume: 188; Freezer volume: 47	161.69
118	Large home appliances	Refrigerators Single-chamber	Burisa	Refrigerator Burisa 107		168.55
119	Large home appliances	Refrigerators Single-chamber	Burisa	Refrigerator Burisa 108	Freshness zone: no; Freezer defrosting: manual; Defrosting of the refrigerating chamber: manual; Height: 86; Depth: 60; Width: 48; Energy class: A; Total volume: 115; Refrigerator volume: 88; Freezer volume: 27	132.62
120	Large home appliances	Refrigerators Single-chamber	Burisa	Refrigerator Burisa 109		128.4
121	Large home appliances	Refrigerators Single-chamber	Burisa	Refrigerator Burisa 110	Freshness zone: no; Freezer defrosting: manual; Defrosting of the refrigerating chamber: drip; Height: 122; Depth: 60; Width: 48; Energy class: A; Total volume: 180; Refrigerator volume: 153; Freezer volume: 27	158.78
122	Large home appliances	Refrigerators with Bottom Freezer	Burisa	Refrigerator Burisa 118	Freshness zone: no; Freezer defrosting: manual; Defrosting of the refrigerating chamber: drip; Height: 145; Depth: 60; Width: 48; External display: no; Energy class: A; Total volume: 185; Refrigerator volume: 149	178.2
123	Large home appliances	Refrigerators with Bottom Freezer	Burisa	Refrigerator Burisa 120		191.28
124	Large home appliances	Refrigerators with Top Freezer	Burisa	Refrigerator Burisa 122	Freshness zone: no; Freezer defrosting: manual; Defrosting of the refrigerating chamber: drip; Height: 122.5; Depth: 60.5; Width: 48; Energy class: A; Total volume: 180; Refrigerator volume: 153	173.84
125	Large home appliances	Refrigerators with Top Freezer	Burisa	Refrigerator Burisa 124		181.24
126	Large home appliances	Refrigerators with Top Freezer	Burisa	Refrigerator Burisa 135 	2-cam, 300l/240l/60l, (1650), m=65kg class A. improved design	200.13
127	Large home appliances	Refrigerators with Top Freezer	Burisa	Refrigerator Burisa 136 	2-cam, 260l/200l/60l, (1452), m=62kg. improved design	188.9
128	Large home appliances	Refrigerators with Top Freezer	Burisa	Refrigerator Burisa 139 	Total volume, l 320 Volume of the refrigerating chamber, l 240 Volume of the freezing chamber, l 80 Overall dimensions (without/with packaging), mm (HxWxg) 1800x600x625/ 1910x660x690 Weight (gross/net), kg 78/70 Control type mechanical Number of compressors 1	217.17
129	Large home appliances	Refrigerators with Bottom Freezer	Burisa	Refrigerator Burisa 151	145 * 58 * 60, improved version of model 18, 2 chamber, lower freezer, C class, 260/75 l, 1 compressor, mechan. controls, White	177.54
130	Large home appliances	Refrigerators with Top Freezer	Burisa	Refrigerator Burisa 153	Freshness zone: no; Freezer defrosting: manual; Defrosting of the refrigerating chamber: drip; Height: 145; Depth: 60; Width: 58; Energy class: A; Total volume: 230; Refrigerator volume: 160; Freezer volume: 70	177.54
131	Large home appliances	Refrigerators with Bottom Freezer	Burisa	Refrigerator Burisa 320Nf		269.21
132	Large home appliances	Refrigerators with Bottom Freezer	Burisa	Refrigerator Burisa 340Nf		304.09
133	Large home appliances	Refrigerators with Bottom Freezer	Burisa	Refrigerator Burisa 360Nf		300.26
134	Large home appliances	Refrigerators with Bottom Freezer	Burisa	Refrigerator Burisa 380Nf		294.44
135	Large home appliances	Refrigerators Single-chamber	Burisa	Refrigerator Burisa 50		73.31
136	Large home appliances	Refrigerators Single-chamber	Burisa	Refrigerator Burisa 542		188.11
137	Large home appliances	Refrigerators Single-chamber	Burisa	Refrigerator Burisa 6	Freshness zone: no; Freezer defrosting: manual; Defrosting of the refrigerating chamber: manual; Height: 145; Depth: 62; Width: 58; Energy class: A; Total volume: 280; Refrigerator volume: 233; Freezer volume: 47	165.91
138	Large home appliances	Refrigerators with Bottom Freezer	Burisa	Refrigerator Burisa 627		261.02
139	Large home appliances	Refrigerators with Bottom Freezer	Burisa	Refrigerator Burisa 629S		341.87
140	Large home appliances	Refrigerators with Bottom Freezer	Burisa	Refrigerator Burisa 631		264.99
141	Large home appliances	Refrigerators with Bottom Freezer	Burisa	Refrigerator Burisa 633		242.79
142	Large home appliances	Refrigerators with Bottom Freezer	Burisa	Refrigerator Burisa 634		225.36
143	Large home appliances	Refrigerators with Bottom Freezer	Burisa	Refrigerator Burisa 649		278.72
144	Large home appliances	Refrigerators Single-chamber	Burisa	Refrigerator Burisa 70		86.13
145	Large home appliances	Refrigerators Single-chamber	Burisa	Refrigerator Burisa 8	Freshness zone: no; Freezer defrosting: manual; Defrosting of the refrigerating chamber: manual; Height: 85; Depth: 62; Width: 58; Energy class: A; Total volume: 150; Refrigerator volume: 116; Freezer volume: 34	142
146	Large home appliances	Refrigerators Single-chamber	Burisa	Refrigerator Burisa 90		101.71
147	Large home appliances	Refrigerators Side-By-Side	Burisa	Refrigerator Burisa CD 466 I		497.61
148	Large home appliances	Refrigerators with Bottom Freezer	Burisa	Refrigerator Burisa G627		280.84
149	Large home appliances	Refrigerators with Bottom Freezer	Burisa	Refrigerator Burisa G631		283.48
150	Large home appliances	Refrigerators with Bottom Freezer	Burisa	Refrigerator Burisa G649		298.41
151	Large home appliances	Refrigerators with Bottom Freezer	Burisa	Refrigerator Burisa H627		292.46
152	Large home appliances	Refrigerators with Bottom Freezer	Burisa	Refrigerator Burisa I633		293.39
153	Large home appliances	Refrigerators Single-chamber	Burisa	Refrigerator Burisa M108		143.19
154	Large home appliances	Refrigerators Single-chamber	Burisa	Refrigerator Burisa M110	Refrigerator Burisa M110 Metallic, 122x48x60 cm, 180 l, shelves: 3, one-door, electromechanical, compressors: 1, R600a	162.61
155	Large home appliances	Refrigerators with Bottom Freezer	Burisa	Refrigerator Burisa M118	Freshness zone: no; Freezer defrosting: manual; Defrosting of the refrigerating chamber: drip; Height: 145; Depth: 60; Width: 48; External display: no; Energy class: A; Total volume: 185; Refrigerator volume: 149	188.11
156	Large home appliances	Refrigerators with Bottom Freezer	Burisa	Refrigerator Burisa M120		200.79
157	Large home appliances	Refrigerators with Bottom Freezer	Burisa	Refrigerator Burisa M151		189.95
158	Large home appliances	Refrigerators with Bottom Freezer	Burisa	Refrigerator Burisa M320Nf		281.37
159	Large home appliances	Refrigerators with Bottom Freezer	Burisa	Refrigerator Burisa M360Nf		315.31
160	Large home appliances	Refrigerators Single-chamber	Burisa	Refrigerator Burisa M50		72.65
161	Large home appliances	Refrigerators with Bottom Freezer	Burisa	Refrigerator Burisa M627		280.84
162	Large home appliances	Refrigerators with Bottom Freezer	Burisa	Refrigerator Burisa M631		283.48
163	Large home appliances	Refrigerators with Bottom Freezer	Burisa	Refrigerator Burisa M632		264.46
164	Large home appliances	Refrigerators with Bottom Freezer	Burisa	Refrigerator Burisa M633		261.02
165	Large home appliances	Refrigerators with Bottom Freezer	Burisa	Refrigerator Burisa M634		241.08
166	Large home appliances	Refrigerators with Bottom Freezer	Burisa	Refrigerator Burisa M649		298.41
167	Large home appliances	Refrigerators Single-chamber	Burisa	Refrigerator Burisa M70		84.81
168	Large home appliances	Refrigerators Side-By-Side	Burisa	Refrigerator Burisa SBS 587 I		487.44
169	Large home appliances	Refrigerators with Bottom Freezer	Burisa	Refrigerator Burisa W380Nf (Graphite)		332.62
170	Large home appliances	Refrigerators with Bottom Freezer	Burisa	Refrigerator Burisa W627		273.97
171	Large home appliances	Refrigerators with Bottom Freezer	Burisa	Refrigerator Burisa W633		254.81
172	Large home appliances	Refrigerators with Bottom Freezer	Burisa	Refrigerator Burisa W649		292.73
173	Large home appliances	Refrigerators with Bottom Freezer	Burisa	Refrigerator Burisa-G633 (Beige)		261.02
174	Large home appliances	Refrigerators with Bottom Freezer	Burisa	Refrigerator Burisa-I627 (Stainless steel)		313.73
175	Large home appliances	Wine Cabinets	Hansa	Wine Cabinet Hansa Bwc60241B		742.12
176	Large home appliances	Wine Cabinets	Hansa	Wine Cabinet Hansa Fwc15071B		364.59
177	Large home appliances	Wine Cabinets	Hansa	Wine Cabinet Hansa Fwc30201B		452.43
178	Large home appliances	Refrigerated Showcases	Burisa	Refrigerated Showcas Burisa 152	vit.hol150l (850*580*625) from+1 to+10 gr, m=46kg	187.31
179	Large home appliances	Refrigerated Showcases	Burisa	Refrigerated Showcas Burisa 290	Freshness zone: no; Freezer defrosting: -; Defrosting of the refrigerating chamber: drip; Height: 145; Depth: 60; Width: 60; Energy class: A; Total volume: 290; Refrigerator volume: 290; Freezer volume: 0	247.81
180	Large home appliances	Refrigerated Showcases	Burisa	Refrigerated Showcas Burisa 310		271.19
181	Large home appliances	Refrigerated Showcases	Burisa	Refrigerated Showcas Burisa 310P (with canape)		281.37
182	Large home appliances	Auto-refrigerators	Mystery	Refrigerator Mystery Mth-19B	auto-refrigerator - Bag, 19 l., thermal insulation: high-quality dense polyethylene foam, 12V	38.97
183	Large home appliances	Freezers	Den	Freezer Den R-103 V		179.25
184	Large home appliances	Freezers	Den	Freezer Den R-105 001 Mi (Metallic Sparkling)		257.59
185	Large home appliances	Freezers	Den	Freezer Den R-105 004 M		244.51
186	Large home appliances	Freezers	Den	Freezer Den R-106 004 Mi		271.06
187	Large home appliances	Freezers	Den	Freezer Den R-105 W		249.66
188	Large home appliances	Freezer chests	Kraft	Freezer Kraft Bd (W) 152Qx		154.16
189	Large home appliances	Freezer chests	Kraft	Freezer Kraft Bd (W) 202Qx		183.61
190	Large home appliances	Freezer chests	Midea	Freezer Midea MCF150W		176.74
191	Large home appliances	Freezer chests	Midea	Freezer Midea MCF100W		166.44
192	Large home appliances	Freezers	Midea	Freezer Midea Mf1142W		249.66
193	Large home appliances	Freezer chests	Renova	Freezer Renova Fc-520		409.76
194	Large home appliances	Freezers	Atlent	Freezer Atlent M 7184-003		318.62
195	Large home appliances	Freezers	Atlent	Freezer Atlent M 7184-080 (Silver)		341.2
196	Large home appliances	Freezers	Atlent	Freezer Atlent M 7201-100		303.56
197	Large home appliances	Freezers	Atlent	Freezer Atlent M 7204-100		341.87
198	Large home appliances	Freezers	Burisa	Freezer Burisa 112		165.12
199	Large home appliances	Freezers	Burisa	Freezer Burisa 114		201.71
200	Large home appliances	Freezer chests	Burisa	Freezer Burisa 115Kx 		129.45
201	Large home appliances	Freezers	Burisa	Freezer Burisa 116		218.22
202	Large home appliances	Freezers	Burisa	Freezer Burisa 14		168.69
203	Large home appliances	Freezer chests	Burisa	Freezer Burisa 170Kh		158.12
204	Large home appliances	Freezer chests	Burisa	Freezer Burisa 200Kh		199.99
205	Large home appliances	Freezer chests	Burisa	Freezer Burisa 240Kh		218.36
206	Large home appliances	Freezer chests	Burisa	Freezer Burisa 260Kh		226.68
207	Large home appliances	Freezer chests	Burisa	Freezer Burisa 285Kh		251.12
208	Large home appliances	Freezer chests	Burisa	Freezer Burisa 305Kh		251.12
209	Large home appliances	Freezer chests	Burisa	Freezer Burisa 355Kh		270.93
210	Large home appliances	Freezer chests	Burisa	Freezer Burisa-455KH		335.39
211	Large home appliances	Freezer chests	Burisa	Freezer Burisa 560Kh		383.61
212	Large home appliances	Freezers	Burisa	Freezer Burisa 646		229.98
213	Large home appliances	Freezers	Burisa	Freezer Burisa 646 Sn		268.42
214	Large home appliances	Freezers	Burisa	Freezer Burisa 647 Sn		344.77
215	Large home appliances	Freezers	Burisa	Freezer Burisa 648		196.03
216	Large home appliances	Freezer chests	Burisa	Freezer Burisa 680Khq		440.41
217	Large home appliances	Freezers	Burisa	Freezer Burisa M646		241.34
218	Large home appliances	Washing machines 46-60 cm	Atlent	Washing machine Atlent 60C1010		270.53
219	Large home appliances	Washing machines 46-60 cm	Atlent	Washing machine Atlent 60U107		244.38
220	Large home appliances	Washing machines 46-60 cm	Atlent	Washing machine Atlent 60U810		268.16
221	Large home appliances	Washing machines 40-45 cm	Beko	Washing machine Beko Rge 585P2 Bsw		207.66
222	Large home appliances	Washing machines 40-45 cm	Beko	Washing machine Beko Rge 64P1Bww		209.11
223	Large home appliances	Washing machines 40-45 cm	Beko	Washing machine Beko Rge 65P2Bww		216.24
224	Large home appliances	Washing machines 40-45 cm	Beko	Washing machine Beko Rge 685P1 Bsw		203.43
